,Unnamed: 0,Name,Type,Family,Category,Material,FileName,NBR_COD,NBR_DESC
1112,1112,3E.04.50-Sistema Elétrico - 75 x 75 cm,3E.04.50-Sistema Elétrico - 75 x 75 cm,Concreto-Viga Retangular,Quadro estrutural,3E.04.50-Sistema Elétrico,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
1115,1115,"3E.04.50-Sistema Elétrico - 2,5 x 2,5 cm","3E.04.50-Sistema Elétrico - 2,5 x 2,5 cm",Concreto-Viga Retangular,Quadro estrutural,3E.04.50-Sistema Elétrico,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
1128,1128,3E.04.50-Sistema Elétrico - 65 x 65 cm,3E.04.50-Sistema Elétrico - 65 x 65 cm,Concreto-Viga Retangular,Quadro estrutural,Fase - Existente,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
1139,1139,3E.04.50-Sistema Elétrico - 100 x 100 cm,3E.04.50-Sistema Elétrico - 100 x 100 cm,Concreto-Viga Retangular,Quadro estrutural,3E.04.50-Sistema Elétrico,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
1161,1161,3E.04.50-Sistema Elétrico - Barramento,3E.04.50-Sistema Elétrico - Barramento,Concreto-Retangular-Coluna,Pilares estruturais,3E.04.50-Sistema Elétrico,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
1164,1164,3E.04.50-Sistema Elétrico - 60 x 60cm,3E.04.50-Sistema Elétrico - 60 x 60cm,Concreto-Retangular-Coluna,Pilares estruturais,3E.04.50-Sistema Elétrico,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
1165,1165,3E.04.50-Sistema Elétrico - 5 x 5cm,3E.04.50-Sistema Elétrico - 5 x 5cm,Concreto-Retangular-Coluna,Pilares estruturais,3E.04.50-Sistema Elétrico,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
1166,1166,"3E.04.50-Sistema Elétrico - 6,5 x 6,5cm","3E.04.50-Sistema Elétrico - 6,5 x 6,5cm",Concreto-Retangular-Coluna,Pilares estruturais,3E.04.50-Sistema Elétrico,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
1167,1167,3E.04.50-Sistema Elétrico - 10 x 10 cm,3E.04.50-Sistema Elétrico - 10 x 10 cm,Concreto-Retangular-Coluna,Pilares estruturais,3E.04.50-Sistema Elétrico,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
1178,1178,"3E.04.50-Sistema Elétrico - CAIXA DE PASSAGE, 50x50x30cm","3E.04.50-Sistema Elétrico - CAIXA DE PASSAGE, 50x50x30cm",Concreto-Viga Retangular,Quadro estrutural,3E.04.50-Sistema Elétrico,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
1182,1182,3E.04.50-Sistema Elétrico - CAIXA DE PASSAGEM 20x20x20cm,3E.04.50-Sistema Elétrico - CAIXA DE PASSAGEM 20x20x20cm,Concreto-Viga Retangular,Quadro estrutural,3E.04.50-Sistema Elétrico,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
1197,1197,3E.04.50-Sistema Elétrico - 30 x 30cm,3E.04.50-Sistema Elétrico - 30 x 30cm,Concreto-Viga Retangular,Quadro estrutural,3E.02.10-Superestrutura,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
1360,1360,3E.04.50-Sistema Elétrico - 50 x 50 cm,3E.04.50-Sistema Elétrico - 50 x 50 cm,Concreto-Viga Retangular,Quadro estrutural,3E.04.50-Sistema Elétrico,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
1735,1735,"3E.04.50-Sistema Elétrico - 3,2 x 3,2cm","3E.04.50-Sistema Elétrico - 3,2 x 3,2cm",Concreto-Viga Retangular,Quadro estrutural,3E.04.50-Sistema Elétrico,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
1751,1751,3E.04.50-Sistema Elétrico - 6 x 6cm,3E.04.50-Sistema Elétrico - 6 x 6cm,Concreto-Viga Retangular,Quadro estrutural,3E.04.50-Sistema Elétrico,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
1763,1763,"3E.04.50-Sistema Elétrico - 3,2 x 3,2 cm","3E.04.50-Sistema Elétrico - 3,2 x 3,2 cm",Concreto-Retangular-Coluna,Pilares estruturais,3E.04.50-Sistema Elétrico,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
1764,1764,3E.04.50-Sistema Elétrico - 30 x 30 cm,3E.04.50-Sistema Elétrico - 30 x 30 cm,Concreto-Retangular-Coluna,Pilares estruturais,3E.04.50-Sistema Elétrico,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
1766,1766,3E.04.50-Sistema Elétrico 75 x 75 cm,3E.04.50-Sistema Elétrico 75 x 75 cm,Concreto-Retangular-Coluna,Pilares estruturais,3E.04.50-Sistema Elétrico,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
1937,1937,3E.04.50-Sistema Elétrico - 30 x 10cm,3E.04.50-Sistema Elétrico - 30 x 10cm,Concreto-Retangular-Coluna,Pilares estruturais,3E.04.50-Sistema Elétrico,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
1938,1938,Standart,Standart,EAE_REVOLEDX_90_128W,Luminárias,Standart,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
1982,1982,Trifásico 3,Trifásico 3,Quadro de distribuição de Sobrepor_225A_CEMAR QDSTG II_56 Disjuntores,Equipamento elétrico,Trifásico 3,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
1990,1990,Trifásico,Trifásico,Quadro de distribuição de Sobrepor_225A_CEMAR QDSTG II_56 Disjuntores,Equipamento elétrico,Trifásico,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
1998,1998,QDC,Quadro de Distribuição 3-4 Disjuntores de embutir em PVC,Quadro_de_Distribuição_3-4_Disjuntores_de_embutir_em_PVC,Equipamento elétrico,Quadro de Distribuição 3-4 Disjuntores de embutir em PVC,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
2008,2008,x.Módulo de Tomada não listavel 2,x.Módulo de Tomada não listavel 2,xNESTED_PADRAO_ELE_A2_Módulo_de_Tomada_não_listavel_2_tomadas2,Dispositivos elétricos,x.Módulo de Tomada não listavel 2,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
2022,2022,a. 2 Tomadas 2P+T 10A,a. 2 Tomadas 2P+T 10A,PADRAO_ELE_A2_Tomadas_2P+T_Conjunto_4x2,Dispositivos elétricos,a. 2 Tomadas 2P+T 10A,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
2028,2028,TOMADA 2P+T-10A E INTERRUPTOR SIMPLES EM CAIXA 2X4,TOMADA 2P+T-10A E INTERRUPTOR SIMPLES EM CAIXA 2X4,PADRAO_ELE_A2_Tomadas_2P+T_Conjunto_4x2,Dispositivos elétricos,TOMADA 2P+T-10A E INTERRUPTOR SIMPLES EM CAIXA 2X4,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
2029,2029,a. Tomada 2P+T 10A,a. Tomada 2P+T 10A,PADRAO_ELE_Tomada_2P+T_Conjunto_4x2,Dispositivos elétricos,a. Tomada 2P+T 10A,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
2104,2104,BOTOEIRA PARA SISTEMA DE ILUMINAÇÃO PARA BANHEIROS PCD,BOTOEIRA PARA SISTEMA DE ILUMINAÇÃO PARA BANHEIROS PCD,PADRAO_ELE_Caixa_Passagem_Parede_Caixa_4x2,Dispositivos elétricos,BOTOEIRA PARA SISTEMA DE ILUMINAÇÃO PARA BANHEIROS PCD,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
2112,2112,2P  +T - 10A EM CAIXA 2X4/ILUMINAÇÃO DE EMERGÊNCIA,2P  +T - 10A EM CAIXA 2X4/ILUMINAÇÃO DE EMERGÊNCIA,PADRAO_ELE_Caixa_Passagem_Parede_Caixa_4x2,Dispositivos elétricos,2P  +T - 10A EM CAIXA 2X4/ILUMINAÇÃO DE EMERGÊNCIA,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
2113,2113,a.Simples,a.Simples,1.a_1 Interruptor_Conjunto 4x2,Dispositivos de iluminação,a.Simples,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
2121,2121,PVC Corrugado Amarelo_Caixa de Octogonal 4x4,PVC Corrugado Amarelo_Caixa de Octogonal 4x4,PADRAO_ELE_A2_PVC_Corrugado_Amarelo_Caixa_Octogonal_4x4,Conexões do conduite,PVC Corrugado Amarelo_Caixa de Octogonal 4x4,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
2138,2138,1.f Tampa cega,1.f Tampa cega,PADRAO_ELE_A2_Condulete_Top_Tampas_Condulete_PVC,Conexões do conduite,1.f Tampa cega,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
2204,2204,Condulete Top_Condulete de PVC 5 entradas 1pol,Condulete Top_Condulete de PVC 5 entradas 1pol,PADRAO_ELE_A2_Condulete_Top_Condulete_PVC_5_entradas_1pol,Conexões do conduite,Condulete Top_Condulete de PVC 5 entradas 1pol,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
2286,2286,PVC Corrugado Amarelo_Caixa de Luz 4x2,PVC Corrugado Amarelo_Caixa de Luz 4x2,xNESTED_PADRAO_ELE_A2_Caixa_Luz_4x2_PVC,Conexões do conduite,PVC Corrugado Amarelo_Caixa de Luz 4x2,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
2391,2391,"3E.04.50-Sistema Elétrico - 0,32x0,32cm","3E.04.50-Sistema Elétrico - 0,32x0,32cm",Concreto-Viga Retangular,Quadro estrutural,"3E.04.50-Sistema Elétrico - 0,32x0,32cm",MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
2441,2441,3E.04.50-Sistema Elétrico -40 x 40cm,3E.04.50-Sistema Elétrico -40 x 40cm,Concreto-Viga Retangular,Quadro estrutural,3E.04.50-Sistema Elétrico,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
2521,2521,"3E.04.50-Sistema Elétrico - 0,32 x 0,32 cm","3E.04.50-Sistema Elétrico - 0,32 x 0,32 cm",Concreto-Retangular-Coluna,Pilares estruturais,3E.04.50-Sistema Elétrico,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
2550,2550,Trifásico 2,Trifásico 2,Quadro de distribuição de Sobrepor_225A_CEMAR QDSTG II_56 Disjuntores,Equipamento elétrico,Trifásico 2,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
2551,2551,Trifasico 3,Trifasico 3,Quadro de distribuição de Embutir_225A_CEMAR QDETG II_70 Disjuntores,Equipamento elétrico,Trifasico 3,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
2556,2556,RELÉ FOTOELÉTRICO,RELÉ FOTOELÉTRICO,PADRAO_ELE_Caixa_Passagem_Parede_Caixa_4x2,Dispositivos elétricos,RELÉ FOTOELÉTRICO,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
2577,2577,2 TOMADAS 2P+T-10 EM CAIXA 2X4,2 TOMADAS 2P+T-10 EM CAIXA 2X4,PADRAO_ELE_A2_Tomadas_2P+T_Conjunto_4x2,Dispositivos elétricos,2 TOMADAS 2P+T-10 EM CAIXA 2X4,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
2581,2581,TOMADA 2P+T-10 EM CAIXA 2X4 2,TOMADA 2P+T-10 EM CAIXA 2X4 2,PADRAO_ELE_A2_Tomadas_2P+T_Conjunto_4x2,Dispositivos elétricos,TOMADA 2P+T-10 EM CAIXA 2X4 2,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
2585,2585,2 INTERRUPTOR SIMPLES EM CAIXA 2X4 PARA DRYWALL,2 INTERRUPTOR SIMPLES EM CAIXA 2X4 PARA DRYWALL,1.a_1 Interruptor_Conjunto 4x2,Dispositivos de iluminação,2 INTERRUPTOR SIMPLES EM CAIXA 2X4 PARA DRYWALL,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
2874,2874,NAOLISTAR,NAOLISTAR,Piso,Pisos,"Concreto, Moldado in loco",MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
2878,2878,3E.04.50-Sistema Elétrico - 4 x 4 cm,3E.04.50-Sistema Elétrico - 4 x 4 cm,Concreto-Retangular-Coluna,Pilares estruturais,3E.04.50-Sistema Elétrico,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
2955,2955,3E.04.50-Sistema Elétrico - 20 x 20 x 15cm,3E.04.50-Sistema Elétrico - 20 x 20 x 15cm,Concreto-Retangular-Coluna,Pilares estruturais,3E.04.50-Sistema Elétrico,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
2956,2956,Poste 09,Poste 09,Poste 09,Luminárias,Poste 09,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
2964,2964,"2 Points of Charge, 0 V, Único Fase, 2 Fiação",2 Points of Charge,Schneider Electric _ EVlink Parking (Floor-standing),Equipamento elétrico,2 Points of Charge,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
2981,2981,Trifasico,Trifasico,Quadro de distribuição de Embutir_225A_CEMAR QDETG II_70 Disjuntores,Equipamento elétrico,Trifasico,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
2982,2982,a. Caixa de Passagem com placa cega,a. Caixa de Passagem com placa cega,PADRAO_ELE_Caixa_Passagem_Parede_Caixa_4x2,Dispositivos elétricos,a. Caixa de Passagem com placa cega,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
2983,2983,x.Módulo de Tomada não listavel 4,x.Módulo de Tomada não listavel 4,xNESTED_PADRAO_ELE_A2_Módulo_de_Tomada_não_listavel_4,Dispositivos elétricos,x.Módulo de Tomada não listavel 4,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
2985,2985,a.1 Simples + 1 Tomada 10A,a.1 Simples + 1 Tomada 10A,PADRAO_ELE_1.e_1_Tomada+1_Interruptor_Conjunto_4x2,Dispositivos elétricos,a.1 Simples + 1 Tomada 10A,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
3000,3000,x. Módulo de Tecla Interrupor não listavel 4,x. Módulo de Tecla Interrupor não listavel 4,x. Módulo de Tecla Interrupor não listavel 4,Dispositivos de iluminação,x. Módulo de Tecla Interrupor não listavel 4,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
3002,3002,a.Sensor de presença,a.Sensor de presença,1.g_ Sensor de Presença_Conjunto 4x2,Dispositivos de iluminação,a.Sensor de presença,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
3006,3006,a.Sensor de presença de Teto,a.Sensor de presença de Teto,1.h_ Sensor de Presença de Teto,Dispositivos de iluminação,a.Sensor de presença de Teto,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
3149,3149,3E.04.50-Sistema Elétrico - 100x 50 cm,3E.04.50-Sistema Elétrico - 100x 50 cm,Concreto-Viga Retangular,Quadro estrutural,3E.04.50-Sistema Elétrico,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
3151,3151,3E.04.50-Sistema Elétrico - 38x 38 cm,3E.04.50-Sistema Elétrico - 38x 38 cm,Concreto-Viga Retangular,Quadro estrutural,3E.04.50-Sistema Elétrico,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
3278,3278,Condulete Top_Adaptador para Condulete de PVC,Condulete Top_Adaptador para Condulete de PVC,PADRAO_ELE_A2_Condulete_Top_Adaptador_Condulete_PVC,Conexões do conduite,Condulete Top_Adaptador para Condulete de PVC,MG.BHZ.044-BAR-ELE-MOD-001-BASxxx-R02.nwc,,
3338,3338,3E.04.60-Sistema de Comunicação - 40X200MM 2,3E.04.60-Sistema de Comunicação - 40X200MM 2,Concreto-Retangular-Coluna,Pilares estruturais,3E.04.60-Sistema de Comunicação,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
3340,3340,3E.04.60-Sistema de Comunicação - 200X40mm,3E.04.60-Sistema de Comunicação - 200X40mm,Concreto-Viga Retangular,Quadro estrutural,3E.04.60-Sistema de Comunicação,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
3344,3344,3E.04.60-Sistema de Comunicação - 25mm,3E.04.60-Sistema de Comunicação - 25mm,Concreto-Viga Retangular,Quadro estrutural,3E.04.60-Sistema de Comunicação,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
3493,3493,3E.04.60-Sistema de Comunicação - 32X32MM,3E.04.60-Sistema de Comunicação - 32X32MM,Concreto-Retangular-Coluna,Pilares estruturais,3E.04.60-Sistema de Comunicação,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
3502,3502,IIIII 2,IIIII 2,Concreto-Retangular-Coluna,Pilares estruturais,3E.04.60-Sistema de Comunicação,MG.BHZ.044-BAR-VDI-MOD-001-GERxxx-R01.nwc,,
